MPNN:
functional     bases     tra_size    epoch
B3LYP         6-31g        100         200
B3LYP         6-31gs        50         250
B3LYP         6-31pgs       25         250
bhandhlyp     6-31g        100         200
bhandhlyp     6-31gs        50         250
bhandhlyp     6-31pgs       25         250
BLYP          6-31g         50         250
BLYP          6-31gs        50         250
BLYP          6-31pgs       20         250
CAM-B3LYP     6-31g         50         250
CAM-B3LYP     6-31gs        50         250
CAM-B3LYP     6-31pgs       25         250
LC-BLYP       6-31g         50         250
LC-BLYP       6-31gs        50         250
LC-BLYP       6-31pgs       25         250
M06           6-31g         50         250
M06           6-31gs        50         250
M06           6-31pgs       25         250
M062x         6-31pgs       25         250
PBE1PBE       6-31g         50         250
PBE1PBE       6-31gs        50         250
PBE1PBE       6-31pgs       25         250
wb97xd        6-31g         50         250
wb97xd        6-31gs        50         250
wb97xd        6-31pgs       25         250
